id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
8025,Derek,Anderson,FA,QB,36,14,QB,robust,0.07,84,0.035,0,0.07,0.07,10
8025,Derek,Anderson,FA,QB,36,14,QB,weighted,0.07,68,0.0429218106995885,,0.07,0.07,10
8042,Matt,Cassel,FA,QB,37,14,QB,average,0.32,81,0.1793,,0.32,0.32,9
8042,Matt,Cassel,FA,QB,37,14,QB,robust,0.32,81,0.1793,0,0.32,0.32,9
8042,Matt,Cassel,FA,QB,37,14,QB,weighted,,,,,0.32,0.32,9
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,average,17.279427538314,30,0.0924751615353081,3.36247643429376,11.8148181818182,19.2794551815653,6
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,robust,17.2955454545455,28,0.0302734699629745,2.98637351871751,11.8148181818182,19.2794551815653,6
8062,Ryan,Fitzpatrick,MIA,QB,37,14,QB,weighted,17.7227528161462,23,0.273138594292625,3.47983100334103,11.6990909090909,19.3031609113277,6
8247,Vernon,Davis,WAS,TE,35,13,TE,average,6.70728571428572,25,0.574785714285715,1.39384201810269,4.9761,8.48,5
8247,Vernon,Davis,WAS,TE,35,13,TE,robust,6.803,25,0.292249999999999,0.889560000000001,4.9761,8.48,5
8247,Vernon,Davis,WAS,TE,35,13,TE,weighted,6.56679437954043,25,0.33366628435885,1.66526216327339,4.923,8.46327761627907,5
8252,Jay,Cutler,FA,QB,36,13,QB,average,18.04,26,0.574044163581053,,18.04,18.04,6
8252,Jay,Cutler,FA,QB,36,13,QB,robust,18.04,26,0.622227272727272,0,18.04,18.04,6
8252,Jay,Cutler,FA,QB,36,13,QB,weighted,,,,,18.04,18.04,6
8269,Marcedes,Lewis,GBP,TE,35,13,TE,average,2.20083333333333,63,0.0252500000000002,1.77852665615859,0.44325,4.5475,9
8269,Marcedes,Lewis,GBP,TE,35,13,TE,robust,2.0525,65,0.0852500000000003,1.9703754,0.44325,4.5475,9
8269,Marcedes,Lewis,GBP,TE,35,13,TE,weighted,2.23601393728223,61,0.0523391405342628,1.98402624538628,0.371,4.54713662790698,9
8416,Delanie,Walker,TEN,TE,35,13,TE,average,8.655625,17,0.198458333333335,1.48170041675097,6.54,10.4025,3
8416,Delanie,Walker,TEN,TE,35,13,TE,robust,8.69575,14,0.287375000000001,0.7576086,6.54,10.4025,3
