id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,points_wk1,points_wk2,points_wk3
13115,Mitchell,Trubisky,CHI,QB,25,2,QB,average,319.698807052809,17,4.42838883046682,24.0437997794951,271.257866674609,330.85834,4,-6.49617642475482,122,-6.90025332539091,119,-3.16603666666668,112,21.881180740262,21.1312360872283,20.9606010860821
13115,Mitchell,Trubisky,CHI,QB,25,2,QB,robust,322.84235,17,0.63085000000001,17.34389958,271.257866674609,330.85834,4,-6.5175637654803,125,-6.90025332539091,119,-3.16603666666668,112,21.881180740262,21.1312360872283,20.9606010860821
13115,Mitchell,Trubisky,CHI,QB,25,2,QB,weighted,319.724156127856,18,5.05662532259015,27.2486263394989,271.138256422476,333.40043115,4,-9.42371588675707,131,-11.1795435775246,120,-2.9436342583333,107,21.881180740262,21.1312360872283,20.9606010860821
13116,Patrick,Mahomes,KCC,QB,24,2,QB,average,404.619891803346,1,22.6397923836112,28.4886838891261,350.96891,422.882,1,78.4249083257816,17,72.81079,15,88.8576233333333,22,23.0775788950344,23.3787950643735,23.0535852134675
13116,Patrick,Mahomes,KCC,QB,24,2,QB,robust,405.702983606692,1,20.464358606692,25.7647224505629,350.96891,422.882,1,76.3430698412116,19,72.81079,15,88.8576233333333,22,23.0775788950344,23.3787950643735,23.0535852134675
13116,Patrick,Mahomes,KCC,QB,24,2,QB,weighted,406.923029087735,1,25.2324215949457,29.4521249640715,349.4434,423.949095,1,77.7751570731211,29,67.1256,23,87.6050295916667,23,23.0775788950344,23.3787950643735,23.0535852134675
13119,Joshua,Dobbs,PIT,QB,24,2,QB,average,9.15516717116125,85,0.780167171161255,4.40843153665432,1.337533736929,10.6832,10,-317.039816306403,736,-276.820586263071,725,-323.341176666667,736,0.540425,0.540425,0.540425
13119,Joshua,Dobbs,PIT,QB,24,2,QB,robust,9.62276898734177,82,0.873797842667687,2.94493480814529,1.337533736929,10.6832,10,-319.737144778139,733,-276.820586263071,725,-323.341176666667,736,0.540425,0.540425,0.540425
13119,Joshua,Dobbs,PIT,QB,24,2,QB,weighted,9.32945182263738,72,1.94050264132383,5.20466900254376,0,10.6802815217391,10,-319.818420191976,669,-282.3178,529,-325.663783886594,728,0.540425,0.540425,0.540425
13120,Davis,Webb,NYJ,QB,24,2,QB,average,0,104,0,,0,0,12,-326.194983477564,755,-278.15812,751,-334.024376666667,753,,,
13120,Davis,Webb,NYJ,QB,24,2,QB,robust,0,104,0,0,0,0,12,-329.35991376548,755,-278.15812,751,-334.024376666667,753,,,
13120,Davis,Webb,NYJ,QB,24,2,QB,weighted,0,90,0,,0,0,12,-329.147872014613,687,-282.3178,529,-336.344065408333,749,,,
13121,Chad,Kelly,IND,QB,25,2,QB,average,11.4424,79,0.419830709876544,5.95221902419593,1.524,15.27944,10,-314.752583477564,730,-276.63412,722,-318.744936666667,728,0.7394,0.878,0.878
13121,Chad,Kelly,IND,QB,25,2,QB,robust,11.5324,75,0.118675,3.72013992,1.524,15.27944,10,-317.82751376548,726,-276.63412,722,-318.744936666667,728,0.7394,0.878,0.878
13121,Chad,Kelly,IND,QB,25,2,QB,weighted,11.0506672744554,65,0.234770861686437,6.75081580084371,0,14.6618605590062,10,-318.097204740158,662,-282.3178,529,-321.682204849327,722,0.7394,0.878,0.878
13124,Cooper,Rush,DAL,QB,26,2,QB,average,9.97756666666667,83,0.47998308108604,4.74119965747067,1.6204,12.192,10,-316.217416810898,734,-276.53772,721,-321.832376666667,732,0.7187,0.7545,0.7597
13124,Cooper,Rush,DAL,QB,26,2,QB,robust,9.9859,80,0.254515506329115,1.13922984,1.6204,12.192,10,-319.37401376548,731,-276.53772,721,-321.832376666667,732,0.7187,0.7545,0.7597
13124,Cooper,Rush,DAL,QB,26,2,QB,weighted,10.3580074873243,68,0.472357436854763,5.6547490238566,0,12.132352484472,10,-318.789864527289,665,-282.3178,529,-324.211712923861,725,0.7187,0.7545,0.7597
13125,C.J.,Beathard,SFO,QB,26,2,QB,average,22.0241666666667,68,4.12595370748299,11.8310149210666,2.259,25.965875,10,-304.170816810898,719,-275.89912,716,-308.058501666667,719,1.28,1.28,1.24
13125,C.J.,Beathard,SFO,QB,26,2,QB,robust,21.938125,59,1.72978199701195,8.421168,2.259,25.965875,10,-307.42178876548,710,-275.89912,716,-308.058501666667,719,1.28,1.28,1.24
13125,C.J.,Beathard,SFO,QB,26,2,QB,weighted,19.0922102937574,53,1.0634181142608,12.1252751109155,0,22.0457947247706,10,-310.055661720856,650,-282.3178,529,-314.298270683563,714,1.28,1.28,1.24
13127,Nathan,Peterman,OAK,QB,25,2,QB,average,0.14,101,0.0525,0.523259018078045,0.037,0.703,12,-326.054983477564,752,-278.12112,745,-333.321376666667,746,0.06,0.06,0.07
13127,Nathan,Peterman,OAK,QB,25,2,QB,robust,0.14,101,0.0525,0.548562,0.037,0.703,12,-329.21991376548,752,-278.12112,745,-333.321376666667,746,0.06,0.06,0.07
13127,Nathan,Peterman,OAK,QB,25,2,QB,weighted,0.079752407152682,88,0.0530055020632735,0.523259018078045,0,0.657740061162079,12,-329.068119607461,685,-282.3178,529,-335.686325347171,742,0.06,0.06,0.07
13128,Dalvin,Cook,MIN,RB,24,2,RB,average,238.532029480062,9,3.34446247804121,16.0491675930174,219.061970897891,257.4675,3,71.188317347279,20,79.2978042312245,13,63.4115816583583,30,15.9493818001821,16.4024630217806,16.3381224443975
13128,Dalvin,Cook,MIN,RB,24,2,RB,robust,240.6475,8,2.96550806663643,18.3854665382665,219.061970897891,257.4675,3,74.2362707229221,20,79.2978042312245,13,63.4115816583583,30,15.9493818001821,16.4024630217806,16.3381224443975
13128,Dalvin,Cook,MIN,RB,24,2,RB,weighted,240.517160683823,8,1.86975376773458,16.9297850549423,215.6,257.464189393939,3,105.08422619012,10,81.9616666666667,12,71.0012793106061,28,15.9493818001821,16.4024630217806,16.3381224443975
13129,Leonard,Fournette,JAC,RB,24,2,RB,average,220.503243502184,13,1.15387320799118,18.0851582282133,205.568,249.265611227206,3,53.1595313694006,29,65.8038333333333,21,55.2096928855646,34,16.4003340267259,14.8411966642998,15.0833163782049
13129,Leonard,Fournette,JAC,RB,24,2,RB,robust,220.824945701973,13,2.99035617679917,14.7770742,205.568,249.265611227206,3,54.413716424895,29,65.8038333333333,21,55.2096928855646,34,16.4003340267259,14.8411966642998,15.0833163782049
13129,Leonard,Fournette,JAC,RB,24,2,RB,weighted,221.789588485035,15,4.34692939972217,17.7204832358064,205.4,249.206433027965,3,86.3566539913323,23,71.7616666666667,19,62.7435229446319,33,16.4003340267259,14.8411966642998,15.0833163782049
13130,Christian,McCaffrey,CAR,RB,23,2,RB,average,309.11591893096,2,14.9968475597393,22.0929952240259,279.025,332.83575,1,141.772206798177,2,139.260833333333,2,138.779831658358,3,20.0727413373978,20.2551604705037,21.1012100151833
13130,Christian,McCaffrey,CAR,RB,23,2,RB,robust,314.845,2,19.5914068597582,32.7726983837366,279.025,332.83575,1,148.433770722922,2,139.260833333333,2,138.779831658358,3,20.0727413373978,20.2551604705037,21.1012100151833
13130,Christian,McCaffrey,CAR,RB,23,2,RB,weighted,308.565074209885,2,13.3316661857015,24.2300339188728,274.3,332.835075310559,1,173.132139716182,2,140.661666666667,3,146.372165227226,3,20.0727413373978,20.2551604705037,21.1012100151833
13131,Joe,Mixon,CIN,RB,23,2,RB,average,234.952051880519,11,10.0106949587393,27.2844125688867,201.925986620171,274.27745,3,67.6083397477361,23,62.1618199535045,24,80.2215316583583,24,13.9436867736087,14.8732315489106,14.2977561020744
13131,Joe,Mixon,CIN,RB,23,2,RB,robust,236.9595,10,5.77616817831054,15.678495,201.925986620171,274.27745,3,70.5482707229221,22,62.1618199535045,24,80.2215316583583,24,13.9436867736087,14.8732315489106,14.2977561020744
13131,Joe,Mixon,CIN,RB,23,2,RB,weighted,235.8734051499,11,7.66574130625759,29.1865354496024,192.463056338725,274.139822878788,3,100.440470656197,15,58.8247230053916,25,87.6769127954545,22,13.9436867736087,14.8732315489106,14.2977561020744
13132,Alvin,Kamara,NOS,RB,23,2,RB,average,302.732127029212,3,32.0337990057468,18.822130434737,278.8775924835,327.826813198292,2,135.388414896428,3,139.113425816833,3,133.770894856651,4,17.1164089667817,17.8687617380469,17.9121480209106
13132,Alvin,Kamara,NOS,RB,23,2,RB,robust,302.282448243806,3,30.8851953136548,17.1024423199467,278.8775924835,327.826813198292,2,135.871218966728,3,139.113425816833,3,133.770894856651,4,17.1164089667817,17.8687617380469,17.9121480209106
13132,Alvin,Kamara,NOS,RB,23,2,RB,weighted,302.911492940913,3,29.3484015125013,19.6215840257904,275.093,327.826084498535,2,167.47855844721,3,141.454666666667,2,141.363174415202,4,17.1164089667817,17.8687617380469,17.9121480209106
13133,Samaje,Perine,WAS,RB,24,2,RB,average,39.801838635221,136,1.13681828945338,33.839040149191,2.428,72.8498836327072,30,-127.541873497562,496,-137.336166666667,631,-121.206034708935,424,3.24115671641791,4.27026119402985,3.12332089552239
13133,Samaje,Perine,WAS,RB,24,2,RB,robust,37.6136033411033,138,0.375479703431758,18.132198,2.428,72.8498836327072,30,-128.797625935975,496,-137.336166666667,631,-121.206034708935,424,3.24115671641791,4.27026119402985,3.12332089552239
13133,Samaje,Perine,WAS,RB,24,2,RB,weighted,49.6984977760618,87,0.562515214311922,37.2231875609408,0,72.6931478265294,30,-85.7344367176412,315,-133.638333333333,503,-113.769762256804,393,3.24115671641791,4.27026119402985,3.12332089552239
